City,State,population,Lon,Lat
Fresno,California,501362,-119.7945,36.7827
Visalia,California,126432,-119.3234,36.3272
San Buenaventura (Ventura),California,107514,-119.255,34.2681
Oxnard,California,199943,-119.2046,34.2023
Bakersfield,California,352428,-119.0183,35.3212
Thousand Oaks,California,127984,-118.8742,34.1933
Simi Valley,California,125522,-118.7485,34.2669
Santa Clarita,California,177601,-118.5047,34.4049
Los Angeles,California,3819702,-118.4108,34.0194
Inglewood,California,110464,-118.3443,33.9561
Torrance,California,146493,-118.3414,33.835
Burbank,California,104092,-118.3249,34.189
Glendale,California,193111,-118.2458,34.1814
Lancaster,California,157693,-118.1753,34.6936
Long Beach,California,465576,-118.1553,33.8091
Pasadena,California,138101,-118.1396,34.1606
Downey,California,112584,-118.1309,33.9382
Palmdale,California,153867,-118.109,34.5913
Norwalk,California,106309,-118.0834,33.9069
El Monte,California,114296,-118.0291,34.0746
Huntington Beach,California,192888,-118.0093,33.6906
Garden Grove,California,173470,-117.9605,33.7788
Fullerton,California,137183,-117.928,33.8857
Waterbury,Connecticut,110189,-73.0367,41.5585
New Haven,Connecticut,129585,-72.925,41.3108
Hartford,Connecticut,124867,-72.6833,41.766
Washington,District of Columbia,617996,-77.0171,38.9041
Tallahassee,Florida,182965,-84.2534,30.4551
Clearwater,Florida,107784,-82.7663,27.9795
Saint Petersburg,Florida,244997,-82.6441,27.762
Tampa,Florida,346037,-82.4797,27.9701
Gainesville,Florida,125326,-82.3459,29.6788
Cape Coral,Florida,157476,-81.9973,26.6431
Jacksonville,Florida,827908,-81.6613,30.337
Orlando,Florida,243195,-81.2988,28.4159
Palm Bay,Florida,103227,-80.6626,27.9856
Port Saint Lucie,Florida,166149,-80.3838,27.281
Pembroke Pines,Florida,157594,-80.3404,26.0212
Miramar,Florida,124302,-80.3358,25.977
Hialeah,Florida,229969,-80.3029,25.8699
Coral Springs,Florida,123338,-80.2593,26.2708
Miami Gardens,Florida,109680,-80.2436,25.9489
Miami,Florida,408750,-80.2086,25.7752
Hollywood,Florida,143357,-80.1646,26.0311
Fort Lauderdale,Florida,168528,-80.1439,26.1413
Pompano Beach,Florida,101617,-80.129,26.2426
West Palm Beach,Florida,101043,-80.1266,26.7483
